id,first_name,last_name,email,courses,grades
40247553,John,Doe,john.doe@example.com,"[('PERC', '210'), ('CHEM', '450'), ('AHSC', '384'), ('CHEM', '221'), ('KCEP', '383'), ('ARTX', '480'), ('PERC', '398'), ('ENGL', '215'), ('INSE', '6300'), ('ACTT', '440')]","{('PERC', '210'): [96], ('CHEM', '450'): [79], ('AHSC', '384'): [84], ('CHEM', '221'): [57, 74], ('KCEP', '383'): [55, 85], ('ARTX', '480'): [68], ('PERC', '398'): [90], ('ENGL', '215'): [89], ('INSE', '6300'): [73], ('ACTT', '440'): [86]}"
40247726,Jane,Smith,jane.smith@example.com,"[('PSYC', '387'), ('MARK', '463'), ('ENCS', '485'), ('BLDG', '6111'), ('ELEC', '6871'), ('ELEC', '6861')]","{('PSYC', '387'): [60], ('MARK', '463'): [79], ('ENCS', '485'): [74], ('BLDG', '6111'): [67], ('ELEC', '6871'): [90], ('ELEC', '6861'): [94]}"
40247864,Michael,Johnson,michael.johnson@example.com,"[('HIST', '498'), ('MECH', '6321'), ('PSYC', '824'), ('COMS', '284'), ('IMCA', '210'), ('COMP', '346'), ('BIOL', '330'), ('BIOL', '486'), ('ETEC', '665')]","{('HIST', '498'): [100], ('MECH', '6321'): [93], ('PSYC', '824'): [77], ('COMS', '284'): [88], ('IMCA', '210'): [54, 74], ('COMP', '346'): [74], ('BIOL', '330'): [88], ('BIOL', '486'): [79], ('ETEC', '665'): [83]}"
40127534,Emily,Brown,emily.brown@example.com,"[('ACCO', '400'), ('ACTT', '210'), ('EDUC', '302'), ('EXCI', '352'), ('FTRA', '698'), ('ETEC', '669'), ('CIVI', '6001')]","{('ACCO', '400'): [88], ('ACTT', '210'): [70], ('EDUC', '302'): [81], ('EXCI', '352'): [51, 57], ('FTRA', '698'): [73], ('ETEC', '669'): [69], ('CIVI', '6001'): [65]}"
40268519,William,Jones,william.jones@example.com,"[('COMS', '569'), ('COEN', '317'), ('PERC', '399'), ('CATA', '439'), ('BLDG', '6621')]","{('COMS', '569'): [63], ('COEN', '317'): [84], ('PERC', '399'): [98], ('CATA', '439'): [96], ('BLDG', '6621'): [94]}"
40893215,Olivia,Miller,olivia.miller@example.com,"[('COEN', '212'), ('COMP', '472'), ('AERO', '371'), ('BLDG', '7811'), ('ELEC', '490'), ('MAST', '333')]","{('COEN', '212'): [52, 71], ('COMP', '472'): [54, 82], ('AERO', '371'): [65], ('BLDG', '7811'): [67], ('ELEC', '490'): [92], ('MAST', '333'): [81]}"
42123456,James,Davis,james.davis@example.com,"[('MECH', '6171'), ('BIOL', '631'), ('CIVI', '6441'), ('CIVI', '321'), ('SCOL', '290'), ('PHOT', '201')]","{('MECH', '6171'): [65], ('BIOL', '631'): [62], ('CIVI', '6441'): [62], ('CIVI', '321'): [84], ('SCOL', '290'): [78], ('PHOT', '201'): [58, 77]}"
40768923,Emma,Garcia,emma.garcia@example.com,"[('CIVI', '231'), ('EMBA', '610'), ('ELEC', '436'), ('ACTT', '399'), ('CATA', '262'), ('COMS', '562')]","{('CIVI', '231'): [74], ('EMBA', '610'): [50, 74], ('ELEC', '436'): [66], ('ACTT', '399'): [100], ('CATA', '262'): [100], ('COMS', '562'): [79]}"
40987654,Joseph,Rodriguez,joseph.rodriguez@example.com,"[('SOEN', '490'), ('DFTT', '350'), ('ELEC', '6661'), ('HIST', '890'), ('BIOL', '689'), ('VDEO', '350'), ('BIOL', '630')]","{('SOEN', '490'): [75], ('DFTT', '350'): [57, 86], ('ELEC', '6661'): [65], ('HIST', '890'): [87], ('BIOL', '689'): [88], ('VDEO', '350'): [52, 89], ('BIOL', '630'): [55, 76]}"
40321098,Mary,Martinez,mary.martinez@example.com,"[('EMBA', '676'), ('COMP', '472'), ('COMP', '6731'), ('ESTU', '670'), ('EXCI', '254'), ('GEOG', '363'), ('BSTA', '450'), ('GEOG', '465'), ('BLDG', '7871'), ('CIVI', '381')]","{('EMBA', '676'): [89], ('COMP', '472'): [91], ('COMP', '6731'): [83], ('ESTU', '670'): [50, 92], ('EXCI', '254'): [85], ('GEOG', '363'): [69], ('BSTA', '450'): [92], ('GEOG', '465'): [56, 58], ('BLDG', '7871'): [66], ('CIVI', '381'): [57, 56]}"
40678901,Alexander,Hernandez,alexander.hernandez@example.com,"[('MANA', '443'), ('POLI', '328'), ('BIOL', '451'), ('ACTT', '201'), ('ELEC', '425'), ('ETEC', '681'), ('FINA', '411'), ('COMP', '479'), ('COMP', '5201'), ('COEN', '6312')]","{('MANA', '443'): [100], ('POLI', '328'): [52, 72], ('BIOL', '451'): [63], ('ACTT', '201'): [93], ('ELEC', '425'): [65], ('ETEC', '681'): [92], ('FINA', '411'): [56, 72], ('COMP', '479'): [99], ('COMP', '5201'): [85], ('COEN', '6312'): [76]}"
40236487,Elizabeth,Lopez,elizabeth.lopez@example.com,"[('RELI', '390'), ('ELEC', '6851'), ('ENGL', '396'), ('MECH', '6241'), ('EMBA', '611'), ('DFTT', '326'), ('PSYC', '839'), ('INSE', '6110'), ('CIVI', '6101')]","{('RELI', '390'): [71], ('ELEC', '6851'): [67], ('ENGL', '396'): [54, 99], ('MECH', '6241'): [67], ('EMBA', '611'): [72], ('DFTT', '326'): [91], ('PSYC', '839'): [82], ('INSE', '6110'): [75], ('CIVI', '6101'): [93]}"
40122345,Mason,Gonzalez,mason.gonzalez@example.com,"[('CIVI', '6461'), ('EXCI', '254'), ('INDU', '6341'), ('COEN', '315'), ('HIST', '200'), ('ETEC', '613'), ('ECON', '695'), ('JOUR', '404'), ('ENGR', '202')]","{('CIVI', '6461'): [92], ('EXCI', '254'): [76], ('INDU', '6341'): [70], ('COEN', '315'): [75], ('HIST', '200'): [94], ('ETEC', '613'): [68], ('ECON', '695'): [85], ('JOUR', '404'): [58, 62], ('ENGR', '202'): [76]}"
40982365,Luna,Perez,luna.perez@example.com,"[('INDU', '323'), ('SCPA', '412'), ('PSYC', '601'), ('COMS', '477'), ('EDUC', '303'), ('DFTT', '311'), ('ELEC', '367'), ('ELEC', '436'), ('INSE', '6240'), ('ACCO', '355')]","{('INDU', '323'): [76], ('SCPA', '412'): [90], ('PSYC', '601'): [86], ('COMS', '477'): [62], ('EDUC', '303'): [95], ('DFTT', '311'): [94], ('ELEC', '367'): [74], ('ELEC', '436'): [81], ('INSE', '6240'): [75], ('ACCO', '355'): [65]}"
40893456,Jack,Wilson,jack.wilson@example.com,"[('COEN', '212'), ('COMP', '474'), ('PTNG', '499'), ('IMCA', '471'), ('WSDB', '496'), ('CIVI', '6001')]","{('COEN', '212'): [77], ('COMP', '474'): [85], ('PTNG', '499'): [78], ('IMCA', '471'): [60], ('WSDB', '496'): [97], ('CIVI', '6001'): [80]}"
40234187,Lily,Anderson,lily.anderson@example.com,"[('BLDG', '476'), ('FRAA', '598'), ('EMBA', '625'), ('MECH', '6251'), ('AERO', '465'), ('COMP', '6321'), ('FINA', '415'), ('CATA', '495')]","{('BLDG', '476'): [98], ('FRAA', '598'): [86], ('EMBA', '625'): [74], ('MECH', '6251'): [80], ('AERO', '465'): [50, 72], ('COMP', '6321'): [69], ('FINA', '415'): [98], ('CATA', '495'): [74]}"
40128576,Noah,Taylor,noah.taylor@example.com,"[('SOEN', '423'), ('INDU', '6131'), ('MECH', '463'), ('COEN', '346'), ('MECH', '6691'), ('ELEC', '6041'), ('CERA', '392'), ('PTNG', '200')]","{('SOEN', '423'): [63], ('INDU', '6131'): [79], ('MECH', '463'): [70], ('COEN', '346'): [71], ('MECH', '6691'): [98], ('ELEC', '6041'): [74], ('CERA', '392'): [67], ('PTNG', '200'): [98]}"
40458690,Charlotte,Moore,charlotte.moore@example.com,"[('APLI', '634'), ('EMBA', '676'), ('JOUR', '206'), ('ELEC', '466'), ('CIVI', '6651'), ('EDUC', '307'), ('MARK', '451'), ('AERO', '465')]","{('APLI', '634'): [99], ('EMBA', '676'): [60], ('JOUR', '206'): [69], ('ELEC', '466'): [56, 87], ('CIVI', '6651'): [51, 69], ('EDUC', '307'): [86], ('MARK', '451'): [93], ('AERO', '465'): [74]}"
40230456,Sebastian,Jackson,sebastian.jackson@example.com,"[('COEN', '212'), ('CIVI', '484'), ('ACTT', '360'), ('FBRS', '240'), ('ENCS', '6821'), ('PSYC', '828'), ('APLI', '647'), ('MARK', '465')]","{('COEN', '212'): [89], ('CIVI', '484'): [84], ('ACTT', '360'): [99], ('FBRS', '240'): [80], ('ENCS', '6821'): [79], ('PSYC', '828'): [77], ('APLI', '647'): [96], ('MARK', '465'): [87]}"
40759812,Sophia,White,sophia.white@example.com,"[('CHEM', '218'), ('ENGR', '208'), ('INSE', '6290'), ('FINA', '405'), ('DRAW', '310'), ('PTNG', '316'), ('DFTT', '298')]","{('CHEM', '218'): [55, 65], ('ENGR', '208'): [96], ('INSE', '6290'): [76], ('FINA', '405'): [81], ('DRAW', '310'): [85], ('PTNG', '316'): [98], ('DFTT', '298'): [65]}"
